X0;X1;X2;RCE
1656710403.1291587;0.0;0.26;1056.68
1656710703.134554;0.0;0.26;1056.68
1656711003.1399488;0.0;0.26;1056.68
1656711303.145344;0.0;0.21;1056.68
1656711603.1507392;0.0;0.21;1056.68
1656711903.1561341;0.0;0.21;1056.68
1656712203.1615293;0.0;0.21;1056.68
1656712503.1669245;0.0;0.21;1051.83
1656712803.1723197;0.0;0.21;1051.83
1656713103.1777146;0.0;0.21;1051.83
1656713403.1831098;0.0;0.21;1051.83
1656713703.188505;0.0;0.21;1051.83
1656714003.1938999;0.0;0.21;1051.83
1656714303.199295;0.0;0.21;1051.83
1656714603.2046902;0.0;0.2;1051.83
1656714903.2100852;0.0;0.2;1051.83
1656715203.2154803;0.0;0.2;1051.83
1656715503.2208755;0.0;0.2;1051.83
1656715803.2262704;0.0;0.2;1051.83
1656716103.2316656;0.0;0.2;1014.56
1656716403.2370608;0.0;0.2;1014.56
1656716703.242456;0.0;0.2;1014.56
1656717003.247851;0.0;0.2;1014.56
1656717303.253246;0.0;0.2;1014.56
1656717603.2586412;0.0;0.2;1014.56
1656717903.2640362;0.0;0.29;1014.56
1656718203.2694314;0.0;0.2;1014.56
1656718503.2748265;0.0;0.2;1014.56
1656718803.2802215;0.0;0.1;1014.56
1656719103.2856166;0.0;0.11;1014.56
1656719403.2910118;0.0;0.11;1014.56
1656719703.2964067;0.0;0.11;981.6
1656720003.301802;0.0;0.11;981.6
1656720303.307197;0.0;0.1;981.6
1656720603.3125923;0.0;0.1;981.6
1656720903.3179872;0.0;0.1;981.6
1656721203.3233824;0.0;0.1;981.6
1656721503.3287776;0.0;0.1;981.6
1656721803.3341725;0.0;0.1;981.6
1656722103.3395677;0.0;0.1;981.6
1656722403.3449628;0.0;0.1;981.6
1656722703.3503578;0.0;0.1;981.6
1656723003.355753;0.0;0.1;981.6
1656723303.361148;0.0;0.1;960.95
1656723603.3665433;0.0;0.19;960.95
1656723903.3719382;0.0;0.19;960.95
1656724203.3773334;0.0;0.19;960.95
1656724503.3827286;0.0;0.19;960.95
1656724803.3881235;0.0;0.19;960.95
1656725103.3935187;0.0;0.19;960.95
1656725403.3989139;0.0;0.19;960.95
1656725703.4043088;0.0;0.19;960.95
1656726003.409704;0.0;0.19;960.95
1656726303.4150991;0.0;0.19;960.95
1656726603.420494;0.0;0.19;960.95
1656726903.4258893;0.0;0.18;1027.7
1656727203.4312844;0.0;0.17;1027.7
1656727503.4366796;0.0;0.17;1027.7
1656727803.4420745;0.0;0.16;1027.7
1656728103.4474697;0.01;0.18;1027.7
1656728403.452865;0.01;0.16;1027.7
1656728703.4582598;0.01;0.16;1027.7
1656729003.463655;0.03;0.16;1027.7
1656729303.4690502;0.01;0.16;1027.7
1656729603.474445;0.03;0.16;1027.7
1656729903.4798403;0.03;0.06;1027.7
1656730203.4852355;0.03;0.06;1027.7
1656730503.4906306;0.03;0.06;952.17
